id,price_clean,predicted_price,pred_minus_actual,pct_under_actual,pred_minus_actual_z,name,neighbourhood,room_type,number_of_reviews,host_id
1392540895604955796,184.0,889.0000000000001,705.0000000000001,3.8315217391304355,4.55901147373968,Vacanze Romane Basilica - 2 Camere e Balcone,VII San Giovanni/Cinecittà,Entire home/apt,3,6107894.0
29448277,97.0,468.00000000000017,371.00000000000017,3.824742268041239,2.395605928828512,Cozy apartment well linked to Ciampino and Metro A,VII San Giovanni/Cinecittà,Entire home/apt,78,177843317.0
633001831678279352,152.0,730.0,578.0,3.8026315789473686,3.7363991857045944,Palline Grey by Hili,I Centro Storico,Entire home/apt,27,220221874.0
13736389,200.0,959.0000000000013,759.0000000000013,3.795000000000006,4.908783627707361,Lucy Dream Home - cosy entire apt at Colosseum,I Centro Storico,Entire home/apt,232,80397819.0
1304359527845546508,161.0,770.9999999999998,609.9999999999998,3.788819875776396,3.943671573240992,Boutique Apartment in the Heart of Rome,I Centro Storico,Entire home/apt,50,665389891.0
1322507252062996209,160.0,765.0,605.0,3.78125,3.9112852626884314,Domus De Roberto,III Monte Sacro,Entire home/apt,6,669497056.0
1230605843678851125,133.0,633.9999999999999,500.9999999999999,3.7669172932330817,3.237650003195133,3’ To Colosseum,I Centro Storico,Entire home/apt,134,493721927.0
27333896,100.0,472.99999999999983,372.99999999999983,3.729999999999998,2.408560453049535,Galeria Home - Artistic & Charming Apartment,XV Cassia/Flaminia,Entire home/apt,86,71986401.0
45073942,217.0,1020.9999999999998,803.9999999999998,3.705069124423962,5.200260422680413,Acetari Terrace,I Centro Storico,Entire home/apt,100,9956489.0
1333948177550772173,90.0,414.0,324.0,3.6,2.0911746096344244,Quirinale Room,VII San Giovanni/Cinecittà,Private room,2,672900791.0
11835337,132.0,605.0000000000002,473.0000000000002,3.5833333333333353,3.0562866641007855,Camera con letto a castello e terrazzo,I Centro Storico,Entire home/apt,138,1355106.0
35479413,63.0,288.00000000000006,225.00000000000006,3.5714285714285725,1.449925660693689,IMAGINE Bed and Breakfast,IX Eur,Private room,58,266929882.0
1374813371317344036,108.0,490.9999999999999,382.9999999999999,3.5462962962962954,2.47333307415466,camera doppia\tripla bagno interno e balcone,I Centro Storico,Private room,6,359400767.0
30339144,132.0,594.0000000000001,462.0000000000001,3.500000000000001,2.9850367808851477,Vivi Trastevere - L'appartamento,I Centro Storico,Entire home/apt,200,20108986.0
1452199979536056632,178.0,799.0,621.0,3.4887640449438204,4.014921456456631,Casa Olimpia-Parioli Roma,II Parioli/Nomentano,Entire home/apt,25,703687926.0
979489418588681557,121.0,540.0000000000002,419.0000000000002,3.462809917355374,2.7065145101331116,Albani Boutique Apartment - Roma Centro,II Parioli/Nomentano,Entire home/apt,72,19586309.0
1431815312174435262,181.0,799.0,618.0,3.414364640883978,3.9954896701250933,WhyNot Apartment Bilocale,II Parioli/Nomentano,Entire home/apt,6,698191588.0
704806863314587349,73.0,319.99999999999994,246.99999999999994,3.3835616438356158,1.592425427124963,Tappa Romana perfetta - camera con bagno,VII San Giovanni/Cinecittà,Private room,3,472705705.0
1059491671810227806,106.0,464.0,358.0,3.3773584905660377,2.311401521391849,Room 2 Afrodite termini station,I Centro Storico,Private room,10,528557813.0
1023715422963812622,135.0,582.9999999999999,447.9999999999999,3.3185185185185175,2.8943551113379713,Cosy studio apartment in the heart of the center,I Centro Storico,Entire home/apt,120,1460757.0
24201651,198.0,841.0000000000002,643.0000000000002,3.2474747474747487,4.157421222887907,"Buonanotte Colosseo, Stanza matrimoniale 2",I Centro Storico,Hotel room,26,2124568.0
1125570,111.0,465.99999999999983,354.99999999999983,3.1981981981981966,2.2919697350603103,Domus Appio Claudio - vacation rental,VII San Giovanni/Cinecittà,Entire home/apt,65,6174899.0
14095402,254.0,1062.0,808.0,3.1811023622047245,5.226169471122465,Penthouse with amazing view private terrace- Monti,I Centro Storico,Entire home/apt,350,10046669.0
1151407732567920776,179.0,745.0000000000001,566.0000000000001,3.162011173184358,3.658672040378445,C.M. Via Veneto Sweet Apartment,I Centro Storico,Entire home/apt,21,533229805.0
1473275044938173689,88.0,365.0000000000003,277.0000000000003,3.147727272727276,1.7867432904403397,"B&B di Gianluca, Suite esclusiva",I Centro Storico,Private room,6,111957622.0
