listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set
1314863,1,1.0,20.0,99.98085906052208,0.7999617107921301,1
1348401543407999020,1,1.0,20.0,93.38923961813153,0.7858425651415519,1
9671847,1,1.0,72.0,292.6348117624253,0.7539595526370493,1
53486585,1,1.0,22.0,85.68479995651496,0.7432450094863383,1
31161472,1,0.7777777777777778,49.0,185.07314189702765,0.7352398111484865,1
988155470939496475,1,1.0,19.0,68.28780228419973,0.7217658298487053,1
1400988868675252013,1,1.0,55.0,191.0250605614952,0.7120796620174645,1
767956024532396981,1,1.0,45.0,151.36071706188477,0.7026969687147989,1
50556639,1,1.0,110.0,369.26495833591,0.7021109165199042,1
31604590,1,1.0,48.0,160.3183120202394,0.7005956500219375,1
1334633498308434942,1,1.0,202.0,651.8663957081915,0.6901205502692833,1
19421401,1,1.0,50.0,151.36071706188477,0.6696632985719988,1
41374778,1,0.8181818181818182,218.0,651.8663957081915,0.6655756433599196,1
37899638,1,1.0,51.0,151.36071706188477,0.6630565645434388,1
1334072717817536581,1,1.0,129.0,369.26495833591,0.6506573475551604,1
2812859,1,1.0,241.0,651.8663957081915,0.6302923396777094,1
18524038,1,1.0,63.0,166.7004016334289,0.6220764954211938,1
18524044,1,1.0,63.0,166.7004016334289,0.6220764954211938,1
37224872,1,1.0,70.0,185.07314189702765,0.6217711587835522,1
1409404766762553661,1,1.0,225.0,586.8620469594883,0.6166049565383942,1
24824079,1,1.0,43.0,110.95884473388207,0.6124689284290138,1
28123178,1,0.8333333333333334,41.0,105.17092528053756,0.6101584169708996,1
28660353,1,1.0,131.0,334.39909515697065,0.6082525284988969,1
34249299,1,0.8571428571428571,60.0,151.36071706188477,0.6035959582863986,1
24307718,1,1.0,60.0,151.36071706188477,0.6035959582863986,1
1019643,1,0.875,74.0,185.07314189702765,0.6001580821426122,1
1373042121974829579,1,1.0,49.0,122.48860293673008,0.5999627816368326,1
51857871,1,1.0,39.0,95.66887299239862,0.5923438963987926,1
1321689986649705483,1,1.0,40.0,97.26127079026632,0.5887366093924911,1
27591025,1,1.0,99.0,238.96566548686937,0.5857145427218713,1
1391387592272937686,1,1.0,45.0,108.22027130797224,0.5841814157724718,1
997740635717065993,1,1.0,28.0,67.2361652191033,0.5835574514287651,1
1224654727321674292,1,1.0,30.0,71.7335669219905,0.5817857484680125,1
421145,1,0.8,47.0,112.029429992579,0.5804673825162427,1
1455444585194930075,1,1.0,31.0,71.7335669219905,0.5678452734169461,1
710205508381081475,1,1.0,71.0,161.67182322785052,0.5608387498671499,1
35957311,1,1.0,62.0,139.99529444437854,0.5571279717216981,1
51647283,1,1.0,151.0,334.39909515697065,0.5484437542239193,1
5899088,1,0.8461538461538461,84.0,185.07314189702765,0.5461253905402625,1
688251295040284753,1,1.0,32.0,70.23968536196674,0.5444170936260015,1
53019071,1,1.0,69.0,151.36071706188477,0.5441353520293584,1
