cluster,n_listings,mean_latitude,mean_longitude,mean_accommodates,mean_bedrooms,mean_amenities_count,mean_price_clean,mean_predicted_price,mean_residual_price,mean_discount_pct,mean_positive_rate_pct,mean_number_of_reviews,room_type_distribution_pct,top_neighbourhoods
0,18,41.74742216263807,12.305522092104308,4.555555555555555,1.8333333333333333,29.444444444444443,75.33333333333333,120.84722576722301,-45.513892433889666,36.636010631275,98.42047930283226,21.22222222222222,"{'Entire home/apt': 83.3, 'Private room': 16.7}","{'X Ostia/Acilia': 17, 'IX Eur': 1}"
1,170,41.89472270368243,12.48150282909911,3.0294117647058822,1.1941176470588235,20.794117647058822,97.91764705882353,143.59684813716493,-45.67920107834138,32.424221101613654,95.36804420108919,35.40588235294118,"{'Entire home/apt': 61.8, 'Private room': 37.1, 'Hotel room': 1.2}","{'I Centro Storico': 100, 'XII Monte Verde': 16, 'VII San Giovanni/Cinecittà': 12}"
2,86,41.891548711758446,12.485221696203649,7.127906976744186,2.744186046511628,41.81395348837209,220.63953488372093,346.8532188639095,-126.21368398018855,34.68147149506445,92.8339960692902,58.31395348837209,"{'Entire home/apt': 98.8, 'Private room': 1.2}","{'I Centro Storico': 52, 'VII San Giovanni/Cinecittà': 9, 'XIII Aurelia': 8}"
3,178,41.89529129572026,12.479058976298964,3.4719101123595504,1.3258426966292134,44.01685393258427,113.34831460674157,165.41121169259426,-52.06289708585268,31.476820699950224,93.86754241389072,49.48876404494382,"{'Entire home/apt': 80.9, 'Private room': 19.1}","{'I Centro Storico': 92, 'XII Monte Verde': 17, 'XIII Aurelia': 14}"
