listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,in_test_set,latitude,longitude,accommodates,bedrooms,amenities_count,room_type,neighbourhood_cleansed,number_of_reviews,property_type,residual,cluster
1505662949374429587,1,1.0,30.0,110.98407951116688,0.7296909598914005,0,41.8287791,12.4862491,1,1.0,6,Private room,VIII Appia Antica,0,Private room in rental unit,-80.98407951116687,0
9671847,1,1.0,72.0,265.5351304130397,0.7288494374058753,0,41.89876,12.46637,6,2.0,32,Entire home/apt,I Centro Storico,133,Entire loft,-193.53513041303967,2
31161472,1,0.7777777777777778,49.0,178.40179602154063,0.725339087987188,1,41.90856,12.49873,4,1.0,25,Entire home/apt,I Centro Storico,50,Entire rental unit,-129.40179602154063,0
28660353,1,1.0,131.0,458.5198222862307,0.7142980660098412,1,41.87978,12.46052,7,2.0,46,Entire home/apt,XII Monte Verde,31,Entire rental unit,-327.5198222862307,2
18524044,1,1.0,63.0,219.11108280478703,0.7124746078858608,1,41.89812,12.47119,4,1.0,18,Private room,I Centro Storico,29,Private room in rental unit,-156.11108280478703,0
18524038,1,1.0,63.0,219.11108280478703,0.7124746078858608,0,41.89812,12.47119,5,1.0,20,Private room,I Centro Storico,26,Private room in rental unit,-156.11108280478703,0
1400988868675252013,1,1.0,55.0,176.3123431393027,0.6880536040715821,0,41.918628865183045,12.495453916490078,2,1.0,12,Private room,II Parioli/Nomentano,2,Private room in rental unit,-121.3123431393027,0
988155470939496475,1,1.0,19.0,60.55144759854868,0.6862172457714223,1,41.93583,12.42043,1,1.0,19,Private room,XIV Monte Mario,10,Private room in rental unit,-41.55144759854868,0
1348401543407999020,1,1.0,20.0,61.824486057165984,0.676503578509217,1,41.88074260769627,12.427944080805169,1,1.0,5,Private room,XII Monte Verde,1,Private room in rental unit,-41.824486057165984,0
37899638,1,1.0,51.0,153.76675039017042,0.6683288170518547,1,41.89193,12.46786,2,1.0,40,Private room,I Centro Storico,85,Private room in condo,-102.76675039017042,1
