listing_id,is_hidden,positive_rate,price_clean,predicted_price,discount_pct,latitude,longitude,room_type,neighbourhood,number_of_reviews,residual,cluster
1829956,1,1.0,208.0,305.00000000000006,0.318032786885246,41.89142,12.46909,Entire home/apt,I Centro Storico,191,-97.00000000000006,0
13078531,1,0.8181818181818182,72.0,104.99999999999996,0.314285714285714,41.89418,12.55979,Private room,V Prenestino/Centocelle,228,-32.99999999999997,2
48370840,1,0.8235294117647058,221.0,322.00000000000006,0.313664596273292,41.90414,12.48785,Entire home/apt,I Centro Storico,147,-101.00000000000006,0
28683605,1,1.0,327.0,475.00000000000006,0.3115789473684212,41.90349,12.48564,Entire home/apt,I Centro Storico,32,-148.00000000000006,0
2121721,1,0.7647058823529411,171.0,245.0000000000001,0.3020408163265309,41.89008,12.47063,Entire home/apt,I Centro Storico,261,-74.00000000000011,0
653881,1,1.0,90.0,126.0,0.2857142857142857,41.90588,12.46794,Hotel room,I Centro Storico,264,-36.0,0
17071616,1,1.0,194.0,266.0,0.2706766917293233,41.88351,12.46952,Entire home/apt,XII Monte Verde,126,-72.0,0
42260780,1,1.0,214.0,291.0000000000001,0.2646048109965638,41.89579,12.47583,Entire home/apt,I Centro Storico,61,-77.00000000000011,0
29600802,1,0.8461538461538461,199.0,270.00000000000006,0.262962962962963,41.89805,12.47605,Entire home/apt,I Centro Storico,61,-71.00000000000006,0
21712894,1,0.8181818181818182,157.0,211.00000000000003,0.2559241706161138,41.88957,12.50583,Entire home/apt,I Centro Storico,172,-54.00000000000003,0
50556407,1,1.0,215.0,285.99999999999994,0.2482517482517481,41.89738464355469,12.45718002319336,Entire home/apt,XIII Aurelia,15,-70.99999999999994,0
15371632,1,0.9090909090909092,160.0,212.0,0.2452830188679244,41.89747,12.49703,Entire home/apt,I Centro Storico,176,-51.99999999999997,0
46125378,1,1.0,186.0,243.0,0.2345679012345678,41.91726,12.50693,Private room,II Parioli/Nomentano,17,-56.99999999999994,0
3126889,1,1.0,53.0,69.00000000000001,0.2318840579710146,41.86875,12.54123,Private room,VII San Giovanni/Cinecittà,4,-16.000000000000014,2
22243453,1,0.875,114.0,147.99999999999994,0.2297297297297293,41.87228,12.52951,Entire home/apt,VII San Giovanni/Cinecittà,108,-33.99999999999994,2
49122306,1,1.0,110.0,141.00000000000003,0.219858156028369,41.73014,12.28959,Entire home/apt,X Ostia/Acilia,19,-31.00000000000003,3
21709788,1,1.0,100.0,127.99999999999996,0.2187499999999997,41.89674016973284,12.50419225842148,Private room,I Centro Storico,15,-27.99999999999997,0
34489218,1,1.0,150.0,191.0,0.2146596858638743,41.90147,12.47184,Private room,I Centro Storico,5,-41.0,0
3823512,1,1.0,165.0,205.00000000000009,0.1951219512195124,41.88778,12.47686,Entire home/apt,I Centro Storico,351,-40.00000000000006,0
6606409,1,1.0,194.0,240.0,0.1916666666666666,41.8958,12.46995,Entire home/apt,I Centro Storico,48,-45.99999999999997,0
47580032,1,1.0,121.0,147.99999999999994,0.1824324324324321,41.82406,12.29892,Entire home/apt,XI Arvalia/Portuense,4,-26.999999999999943,3
35597834,1,0.8,155.0,188.0,0.1755319148936169,41.88933,12.47052,Entire home/apt,I Centro Storico,49,-33.0,0
54106776,1,1.0,555.0,669.9999999999999,0.1716417910447759,41.90717,12.45703,Entire home/apt,I Centro Storico,30,-114.99999999999989,0
51795943,1,0.8333333333333334,397.0,470.00000000000006,0.1553191489361702,41.89146423339844,12.492700576782228,Entire home/apt,I Centro Storico,34,-73.00000000000006,0
9163789,1,0.7647058823529411,189.0,223.00000000000003,0.1524663677130046,41.90367,12.48893,Entire home/apt,I Centro Storico,91,-34.00000000000003,0
